ranking,name,producer,revenue,year
289,Rambo: First Blood Part II,TriS,"$150,415,432",1985
290,We're the Millers,WB (NL),"$150,394,119",2013
291,Terminator 3: Rise of the Machines,WB,"$150,371,112",2003
292,G.I. Joe: The Rise of Cobra,Par.,"$150,201,498",2009
293,Neighbors,Uni.,"$150,157,400",2014
294,American Hustle,Sony,"$150,117,807",2013
295,Puss in Boots,P/DW,"$149,260,504",2011
296,Les Miserables (2012),Uni.,"$148,809,770",2012
297,Knocked Up,Uni.,"$148,768,917",2007
298,As Good as It Gets,Sony,"$148,478,011",1997
299,Little Fockers,Uni.,"$148,438,600",2010
300,Megamind,P/DW,"$148,415,853",2010
301,Hotel Transylvania,Sony,"$148,313,048",2012
302,Talladega Nights: The Ballad of Ricky Bobby,Sony,"$148,213,377",2006
303,Gran Torino,WB,"$148,095,302",2008
304,Lethal Weapon 2,WB,"$147,253,986",1989
305,X-Men: First Class,Fox,"$146,408,305",2011
306,Paul Blart: Mall Cop,Sony,"$146,336,178",2009
307,True Lies,Fox,"$146,282,411",1994
308,Lilo & Stitch,BV,"$145,794,338",2002
309,American Pie 2,Uni.,"$145,103,595",2001
310,Taken,Fox,"$145,000,989",2009
311,101 Dalmatians,Dis.,"$144,880,014",1961^
312,The Great Gatsby (2013),WB,"$144,840,419",2013
313,The Santa Clause,BV,"$144,833,357",1994
314,"I, Robot",Fox,"$144,801,023",2004
315,Lethal Weapon 3,WB,"$144,731,527",1992
316,The Revenant,Fox,"$144,683,403",2015
317,The Fast and the Furious,Uni.,"$144,533,925",2001
318,Daddy's Home,Par.,"$144,162,956",2015
319,Doctor Dolittle,Fox,"$144,156,605",1998
320,Mamma Mia!,Uni.,"$144,130,063",2008
321,Rio,Fox,"$143,619,809",2011
322,Juno,FoxS,"$143,495,265",2007
323,Marley and Me,Fox,"$143,153,751",2008
324,The Smurfs,Sony,"$142,614,158",2011
325,XXX,SonR,"$142,109,382",2002
326,The Jungle Book,Dis.,"$141,843,612",1967^
327,The Chronicles of Narnia: Prince Caspian,BV,"$141,621,490",2008
328,National Lampoon's Animal House,Uni.,"$141,600,000",1978^
329,Pocahontas,BV,"$141,579,773",1995
330,A Few Good Men,Col.,"$141,340,178",1992
331,Slumdog Millionaire,FoxS,"$141,319,928",2008
332,Rush Hour,NL,"$141,186,864",1998
333,The Blair Witch Project,Art.,"$140,539,099",1999
334,Deep Impact,Par.,"$140,464,664",1998
335,Rush Hour 3,NL,"$140,125,968",2007
336,Look Who's Talking,TriS,"$140,088,813",1989
337,Stuart Little,Sony,"$140,035,367",1999
338,Taken 2,Fox,"$139,854,287",2012
339,Sister Act,BV,"$139,605,150",1992
340,The Matrix Revolutions,WB,"$139,313,948",2003
341,The Santa Clause 2,BV,"$139,236,327",2002
342,The King's Speech,Wein.,"$138,797,449",2010^
343,Cheaper by the Dozen,Fox,"$138,614,544",2003
344,Bad Boys II,Sony,"$138,608,444",2003
345,Platoon,Orion,"$138,530,565",1986
346,21 Jump Street,Sony,"$138,447,667",2012
347,Good Will Hunting,Mira.,"$138,433,435",1997
348,A Christmas Carol (2009),BV,"$137,855,863",2009
349,Dinosaur,BV,"$137,748,063",2000
350,The Conjuring,WB (NL),"$137,400,141",2013
351,Click,SonR,"$137,355,633",2006
352,The Green Mile,WB,"$136,801,374",1999
353,Ransom,BV,"$136,492,681",1996
354,Godzilla,Sony,"$136,314,294",1998
355,101 Dalmatians (1996),BV,"$136,189,294",1996
356,Argo,WB,"$136,025,503",2012
357,Anger Management,SonR,"$135,645,823",2003
358,Chicken Little,BV,"$135,386,665",2005
359,Teenage Mutant Ninja Turtles,NL,"$135,265,915",1990
360,Patch Adams,Uni.,"$135,026,902",1998
361,The Godfather,Par.,"$134,966,411",1972^
362,Ride Along,Uni.,"$134,938,200",2014
363,The Incredible Hulk,Uni.,"$134,806,913",2008
364,Live Free or Die Hard,Fox,"$134,529,403",2007
365,Wanted,Uni.,"$134,508,551",2008
366,Identity Thief,Uni.,"$134,506,920",2013
367,Superman,WB,"$134,218,018",1978
368,The Rock,BV,"$134,069,511",1996
369,Mission: Impossible III,Par.,"$134,029,801",2006
370,Grown Ups 2,Sony,"$133,668,525",2013
371,Troy,WB,"$133,378,256",2004
372,Angels & Demons,Sony,"$133,375,846",2009
373,Alvin and the Chipmunks: Chipwrecked,Fox,"$133,110,742",2011
374,Bringing Down the House,BV,"$132,716,677",2003
375,The Wolverine,Fox,"$132,556,852",2013
376,The Departed,WB,"$132,384,315",2006
377,Hulk,Uni.,"$132,177,234",2003
378,Silver Linings Playbook,Wein.,"$132,092,958",2012
379,Close Encounters of the Third Kind,Col.,"$132,088,635",1977^
380,Minority Report,Fox,"$132,072,926",2002
381,Fantastic Four: Rise of the Silver Surfer,Fox,"$131,921,738",2007
382,The Last Airbender,Par.,"$131,772,187",2010
383,Rio 2,Fox,"$131,538,435",2014
384,Lara Croft: Tomb Raider,Par.,"$131,168,070",2001
385,The Silence of the Lambs,Orion,"$130,742,922",1991
386,"Honey, I Shrunk the Kids",BV,"$130,724,172",1989
387,The Flintstones,Uni.,"$130,531,208",1994
388,Lethal Weapon 4,WB,"$130,444,603",1998
389,Get Smart,WB,"$130,319,208",2008
390,The Divergent Series: Insurgent,LG/S,"$130,179,072",2015
391,American Gangster,Uni.,"$130,164,645",2007
392,American Beauty,DW,"$130,096,601",1999
393,The Peanuts Movie,Fox,"$129,918,514",2015
394,An Officer and a Gentleman,Par.,"$129,795,554",1982
395,The Ring,DW,"$129,128,133",2002
396,The Nutty Professor (1996),Uni.,"$128,814,019",1996
397,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Fox,"$128,505,958",2006
398,Kingsman: The Secret Service,Fox,"$128,261,724",2015
399,Robots,Fox,"$128,200,012",2005
400,Coming to America,Par.,"$128,152,301",1988
401,"Crouching Tiger, Hidden Dragon",SPC,"$128,078,872",2000
402,Shutter Island,Par.,"$128,012,934",2010
403,Into the Woods,BV,"$128,002,372",2014
404,Rocky IV,UA,"$127,873,716",1985
405,Enchanted,BV,"$127,807,262",2007
406,The Curious Case of Benjamin Button,Par.,"$127,509,326",2008
407,Anchorman 2: The Legend Continues,Par.,"$127,352,707",2013^
408,Sweet Home Alabama,BV,"$127,223,418",2002
409,Dumb and Dumber,NL,"$127,175,374",1994
410,2 Fast 2 Furious,Uni.,"$127,154,901",2003
411,My Best Friend's Wedding,Sony,"$127,120,029",1997
412,Super 8,Par.,"$127,004,179",2011
413,The World Is Not Enough,MGM,"$126,943,684",1999
414,Smokey and the Bandit,Uni.,"$126,737,428",1977
415,Sleepless in Seattle,TriS,"$126,680,884",1993
416,Lucy,Uni.,"$126,663,600",2014
417,Bee Movie,P/DW,"$126,631,277",2007
418,Prometheus,Fox,"$126,477,084",2012
419,Safe House,Uni.,"$126,373,434",2012
420,Mr. Deeds,Sony,"$126,293,452",2002
421,The Truman Show,Par.,"$125,618,201",1998
422,Erin Brockovich,Uni.,"$125,595,205",2000
423,Ocean's Twelve,WB,"$125,544,280",2004
424,Terminator Salvation,WB,"$125,322,469",2009
425,Charlie's Angels,Sony,"$125,305,545",2000
426,Tomorrow Never Dies,MGM,"$125,304,276",1997
427,Lone Survivor,Uni.,"$125,095,601",2013
428,Rocky III,UA,"$125,049,125",1982^
429,The Vow,SGem,"$125,014,030",2012
430,Life of Pi,Fox,"$124,987,023",2012
431,The Fault in our Stars,Fox,"$124,872,350",2014
432,Cloudy with a Chance of Meatballs,Sony,"$124,870,275",2009
433,The Devil Wears Prada,Fox,"$124,740,460",2006
434,Something's Gotta Give,Sony,"$124,728,738",2003
435,Traffic,USA,"$124,115,725",2000
436,The Birdcage,MGM,"$124,060,553",1996
437,City Slickers,Col.,"$124,033,791",1991
438,"Good Morning, Vietnam",BV,"$123,922,370",1987
439,Rango,Par.,"$123,477,607",2011
440,The Nutty Professor II: The Klumps,Uni.,"$123,309,890",2000
441,G.I. Joe: Retaliation,Par.,"$122,523,060",2013
442,Clear and Present Danger,Par.,"$122,187,717",1994
443,The Hunt for Red October,Par.,"$122,012,643",1990
444,The Bodyguard,WB,"$122,006,740",1992^
445,Wayne's World,Par.,"$121,697,323",1992
446,The Bourne Identity,Uni.,"$121,661,683",2002
447,Superbad,Sony,"$121,463,226",2007
448,Speed,Fox,"$121,248,145",1994
449,50 First Dates,Sony,"$120,908,074",2004
450,Mulan,BV,"$120,620,254",1998
451,Inglourious Basterds,Wein.,"$120,540,719",2009
452,The Good Dinosaur,BV,"$120,483,303",2015
453,Seabiscuit,Uni.,"$120,277,854",2003
454,Van Helsing,Uni.,"$120,177,084",2004
455,Four Christmases,WB (NL),"$120,146,040",2008
456,I Now Pronounce You Chuck and Larry,Uni.,"$120,059,556",2007
457,The Mask,NL,"$119,938,730",1994
458,Cloudy with a Chance of Meatballs 2,Sony,"$119,793,567",2013
459,Hook,TriS,"$119,654,823",1991
460,Blazing Saddles,WB,"$119,601,481",1974^
461,Walk the Line,Fox,"$119,519,402",2005
462,G-Force,BV,"$119,436,770",2009
463,Total Recall,Sony,"$119,412,921",1990^
464,On Golden Pond,Uni.,"$119,285,432",1981
465,The Other Guys,Sony,"$119,219,978",2010
466,Fahrenheit 9/11,Lions,"$119,194,771",2004
467,The Sum of All Fears,Par.,"$118,907,036",2002
468,Hairspray (2007),NL,"$118,871,849",2007
469,The Break-Up,Uni.,"$118,703,275",2006
470,Lemony Snicket's A Series of Unfortunate Events,Par.,"$118,634,549",2004
471,Blades of Glory,P/DW,"$118,594,548",2007
472,Back to the Future Part II,Uni.,"$118,450,002",1989
473,Salt,Sony,"$118,311,368",2010
474,Basic Instinct,TriS,"$117,727,224",1992
475,Now You See Me,LG/S,"$117,723,989",2013
476,Big Momma's House,Fox,"$117,559,438",2000
477,Die Hard 2: Die Harder,Fox,"$117,540,947",1990
478,Horrible Bosses,WB (NL),"$117,538,559",2011
479,Rocky,UA,"$117,235,147",1976
480,Jackass 3-D,Par.,"$117,229,692",2010
481,Ocean's Thirteen,WB,"$117,154,724",2007
482,S.W.A.T.,Sony,"$116,934,650",2003
483,The Wolf of Wall Street,Par.,"$116,900,694",2013
484,8 Mile,Uni.,"$116,750,901",2002
485,Double Jeopardy,Par.,"$116,741,558",1999
486,Lee Daniels' The Butler,Wein.,"$116,632,095",2013
487,Green Lantern,WB,"$116,601,172",2011
488,Notting Hill,Uni.,"$116,089,678",1999
489,The Towering Inferno,Fox,"$116,000,000",1974
490,You've Got Mail,WB,"$115,821,495",1998
491,Ghost Rider,Sony,"$115,802,596",2007
492,Remember the Titans,BV,"$115,654,751",2000
493,District 9,TriS,"$115,646,235",2009
494,Unbroken,Uni.,"$115,637,895",2014
495,The Karate Kid Part II,Col.,"$115,103,979",1986
496,American Graffiti,Uni.,"$115,000,000",1973
497,Big,Fox,"$114,968,774",1988
498,DodgeBall: A True Underdog Story,Fox,"$114,326,736",2004
499,The Village,BV,"$114,197,520",2004
500,Bolt,BV,"$114,053,579",2008
501,Wild Wild West,WB,"$113,804,681",1999
502,Night at the Museum: Secret of the Tomb,Fox,"$113,746,621",2014
503,Magic Mike,WB,"$113,721,571",2012
504,The Addams Family,Par.,"$113,502,426",1991
505,The Patriot,Sony,"$113,330,342",2000
506,The Bourne Legacy,Uni.,"$113,203,870",2012
507,The Pacifier,BV,"$113,086,868",2005
508,Dr. Dolittle 2,Fox,"$112,952,899",2001
509,The Rocky Horror Picture Show,Fox,"$112,892,319",1975
510,It's Complicated,Uni.,"$112,735,375",2009
511,Spy Kids,Mira.,"$112,719,001",2001
512,Ghostbusters II,Col.,"$112,494,738",1989
513,Face/Off,Par.,"$112,276,146",1997
514,The Hangover Part III,WB,"$112,200,072",2013
515,Twins,Uni.,"$111,938,388",1988
516,Spy Kids 3D: Game Over,Dim.,"$111,761,982",2003
517,Doctor Zhivago,MGM,"$111,721,910",1965
518,Enemy of the State,BV,"$111,549,836",1998
519,The Little Mermaid,BV,"$111,543,479",1989^
520,Mr. Peabody & Sherman,Fox,"$111,506,430",2014
521,Porky's,Fox,"$111,289,673",1982^
522,The Last Samurai,WB,"$111,127,263",2003
523,Spy,Fox,"$110,825,712",2015
524,Tropic Thunder,P/DW,"$110,515,313",2008
